Month,Year,Name,Mean
January,2013,Rapides,5.372727273
February,2013,Rapides,7.111111111
March,2013,Rapides,7.27
April,2013,Rapides,6.57
May,2013,Rapides,6.672727273
June,2013,Rapides,7.516666667
July,2013,Rapides,7.588888889
August,2013,Rapides,9.025
September,2013,Rapides,10.64
October,2013,Rapides,6.054545455
November,2013,Rapides,6.816666667
December,2013,Rapides,6.67
January,2013,East Baton Rouge,7.032258065
February,2013,East Baton Rouge,7.375
March,2013,East Baton Rouge,9.374193548
April,2013,East Baton Rouge,6.851724138
May,2013,East Baton Rouge,6.97
June,2013,East Baton Rouge,8.64
July,2013,East Baton Rouge,8.527272727
August,2013,East Baton Rouge,9.783870968
September,2013,East Baton Rouge,10.04666667
October,2013,East Baton Rouge,8.514814815
November,2013,East Baton Rouge,7.76
December,2013,East Baton Rouge,9.793333333
January,2013,East Baton Rouge,7.166666667
February,2013,East Baton Rouge,8.8
March,2013,East Baton Rouge,9.133333333
April,2013,East Baton Rouge,8.7
May,2013,East Baton Rouge,4.6
June,2013,East Baton Rouge,8
July,2013,East Baton Rouge,10.1
August,2013,East Baton Rouge,15.65
September,2013,East Baton Rouge,9.6
October,2013,East Baton Rouge,7.35
November,2013,East Baton Rouge,4.6
December,2013,East Baton Rouge,12.93333333
January,2013,Iberville,8.427272727
February,2013,Iberville,7.1
March,2013,Iberville,9.01
April,2013,Iberville,6.24
May,2013,Iberville,6.427272727
June,2013,Iberville,7.42
July,2013,Iberville,7.55
August,2013,Iberville,7.133333333
September,2013,Iberville,8.5375
October,2013,Iberville,8.036363636
November,2013,Iberville,9.36
December,2013,Iberville,5.7625
January,2013,St. Bernard,9.15
February,2013,St. Bernard,7.86
March,2013,St. Bernard,9.42
April,2013,St. Bernard,7.64
May,2013,St. Bernard,6.56
June,2013,St. Bernard,8.56
July,2013,St. Bernard,6.26
August,2013,St. Bernard,8.62
September,2013,St. Bernard,9
October,2013,St. Bernard,5.783333333
November,2013,St. Bernard,7.14
December,2013,St. Bernard,8.68
January,2013,Ascension,7.127272727
February,2013,Ascension,8.428571429
March,2013,Ascension,9.053846154
April,2013,Ascension,7.26
May,2013,Ascension,6.790909091
June,2013,Ascension,8.74
July,2013,Ascension,8.94
August,2013,Ascension,9.61
September,2013,Ascension,10.35
October,2013,Ascension,8.281818182
November,2013,Ascension,10.28
December,2013,Ascension,10.8
January,2013,Tangipahoa,6.816666667
February,2013,Tangipahoa,5.422222222
March,2013,Tangipahoa,10.18
April,2013,Tangipahoa,5.58
May,2013,Tangipahoa,5.418181818
June,2013,Tangipahoa,7.55
July,2013,Tangipahoa,7.444444444
August,2013,Tangipahoa,8.31
September,2013,Tangipahoa,10.01111111
October,2013,Tangipahoa,6.718181818
November,2013,Tangipahoa,8.85
December,2013,Tangipahoa,6.8125
January,2013,Tangipahoa,8.2
February,2013,Tangipahoa,9.1
March,2013,Tangipahoa,9.3
April,2013,Tangipahoa,6.45
May,2013,Tangipahoa,6.6
June,2013,Tangipahoa,8.4
July,2013,Tangipahoa,6.966666667
August,2013,Tangipahoa,9.75
September,2013,Tangipahoa,9.766666667
October,2013,Tangipahoa,5.166666667
November,2013,Tangipahoa,6.3
December,2013,Tangipahoa,5.48
January,2013,Terrebonne,6.733333333
February,2013,Terrebonne,6.38
March,2013,Terrebonne,8.94
April,2013,Terrebonne,6
May,2013,Terrebonne,5.845454545
June,2013,Terrebonne,6.89
July,2013,Terrebonne,7.2
August,2013,Terrebonne,7.49
September,2013,Terrebonne,7.21
October,2013,Terrebonne,6.463636364
November,2013,Terrebonne,7.93
December,2013,Terrebonne,8.6
January,2013,Jefferson,8.110526316
February,2013,Jefferson,6.203571429
March,2013,Jefferson,8.303333333
April,2013,Jefferson,6.37
May,2013,Jefferson,6.648387097
June,2013,Jefferson,8.05
July,2013,Jefferson,7.473333333
August,2013,Jefferson,8.2
September,2013,Jefferson,7.436666667
October,2013,Jefferson,6.953846154
November,2013,Jefferson,5.615384615
December,2013,Jefferson,7.496153846
January,2013,Lafayette,6.181818182
February,2013,Lafayette,8.5875
March,2013,Lafayette,7.15
April,2013,Lafayette,6.58
May,2013,Lafayette,6.290909091
June,2013,Lafayette,7.81
July,2013,Lafayette,7.46
August,2013,Lafayette,9.36
September,2013,Lafayette,9.41
October,2013,Lafayette,8.454545455
November,2013,Lafayette,9.31
December,2013,Lafayette,8.366666667
January,2013,Calcasieu,6.54
February,2013,Calcasieu,8.0625
March,2013,Calcasieu,7.29
April,2013,Calcasieu,6.79
May,2013,Calcasieu,7.509090909
June,2013,Calcasieu,9.36
July,2013,Calcasieu,8.46
August,2013,Calcasieu,9.54
September,2013,Calcasieu,8.690909091
October,2013,Calcasieu,8.2
November,2013,Calcasieu,6.9
December,2013,Calcasieu,8.3
January,2013,Jefferson,9.385714286
February,2013,Jefferson,7.844444444
March,2013,Jefferson,9.35
April,2013,Jefferson,6.37
May,2013,Jefferson,6.809090909
June,2013,Jefferson,8.36
July,2013,Jefferson,7.77
August,2013,Jefferson,8.58
September,2013,Jefferson,8.33
October,2013,Jefferson,6.781818182
November,2013,Jefferson,7.84
December,2013,Jefferson,7.31
January,2013,Ouachita,5.485714286
February,2013,Ouachita,5.545454545
March,2013,Ouachita,7.9
April,2013,Ouachita,6.09
May,2013,Ouachita,6.727272727
June,2013,Ouachita,8.91
July,2013,Ouachita,9.36
August,2013,Ouachita,13.29
September,2013,Ouachita,13.6875
October,2013,Ouachita,6.245454545
November,2013,Ouachita,6.022222222
December,2013,Ouachita,8.390909091
January,2013,West Baton Rouge,7.123333333
February,2013,West Baton Rouge,8.096296296
March,2013,West Baton Rouge,9.448
April,2013,West Baton Rouge,7.673333333
May,2013,West Baton Rouge,7.956666667
June,2013,West Baton Rouge,9.78
July,2013,West Baton Rouge,9.451612903
August,2013,West Baton Rouge,10.27741935
September,2013,West Baton Rouge,10.44333333
October,2013,West Baton Rouge,8.848387097
November,2013,West Baton Rouge,7.162068966
December,2013,West Baton Rouge,9.435483871
January,2013,Caddo,8.311111111
February,2013,Caddo,9.03
March,2013,Caddo,9.154545455
April,2013,Caddo,10.67
May,2013,Caddo,10.31
June,2013,Caddo,11.14444444
July,2013,Caddo,12.42222222
August,2013,Caddo,13.86
September,2013,Caddo,14.69
October,2013,Caddo,7.445454545
November,2013,Caddo,11.56666667
December,2013,Caddo,11.16363636
January,2013,Caddo,11.75
February,2013,Caddo,10.2
March,2013,Caddo,12.1
April,2013,Caddo,10.35
May,2013,Caddo,10.1
June,2013,Caddo,10.9
July,2013,Caddo,8.1
August,2013,Caddo,18.1
September,2013,Caddo,14.7
October,2013,Caddo,5.333333333
November,2013,Caddo,5.45
December,2013,Caddo,17.73333333
January,2013,Calcasieu,4.890909091
February,2013,Calcasieu,6.74
March,2013,Calcasieu,7.06
April,2013,Calcasieu,6.76
May,2013,Calcasieu,6.9
June,2013,Calcasieu,8.03
July,2013,Calcasieu,8.36
August,2013,Calcasieu,9.82
September,2013,Calcasieu,9.67
October,2013,Calcasieu,6.709090909
November,2013,Calcasieu,7.01
December,2013,Calcasieu,7.181818182
